nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Ac228,648.84,0.04,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1168.377->519.195,gamma
Ac228,648.84,0.04,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1617.78->968.972,gamma
Ac228,651.51,0.09,0.008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,979.507->328.006,gamma
Ac228,660.1,0.005,0.0000005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1682.754->1022.531,gamma
Ac228,663.82,0.028,0.006,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1059.94->396.083,gamma
Ac228,666.45,0.057,0.006,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1646.005->979.507,gamma
Ac228,666.45,0.005,0.002,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1893.02->1226.566,gamma
Ac228,672,0.026,0.008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1688.398->1016.386,gamma
Ac228,674.16,0.109,,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1643.119->968.972,gamma
Ac228,674.75,2.1,0.7,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1643.119->968.34,gamma
Ac228,677.11,0.062,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1646.005->968.972,gamma
Ac228,684,0.019,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1743.87->1059.94,gamma
Ac228,688.1,0.067,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,874.48->186.827,gamma
Ac228,688.1,0.067,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1016.386->328.006,gamma
Ac228,692.5,0.0056,0.0007,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1893.02->1200.5,gamma
Ac228,699.08,0.037,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1643.119->944.200,gamma
Ac228,701.747,0.173,0.01,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1724.288->1022.531,gamma
Ac228,707.41,0.155,0.015,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1226.566->519.195,gamma
Ac228,718.48,0.019,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1944.83->1226.566,gamma
Ac228,726.863,0.62,0.08,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1122.949->396.083,gamma
Ac228,737.72,0.037,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1760.17->1022.531,gamma
