# Извлечено 2026-08-09 из IAEA Live Chart of Nuclides (nds.iaea.org/relnsd/v1/data?fields=gammas), схема уровней ВНЕ распада (ADOPTED LEVELS ENSDF), не decay_rads.
# Роль — ПЕРЕКРЁСТНАЯ ПРОВЕРКА к data/conversion_coeff_sum_peak_levels.csv, не замена: полнота tot_conv_coeff ниже (см. докстринг tools/fetch_adopted_gammas.py). Сверка — tools/check_cc_cross_source.py.
nuclide,E_keV,level,start_jp,end_jp,relative_intensity,multipolarity,mixing_ratio,tot_conv_coeff,tce_unc,source
Po214,474.43,2204.102->1729.612,1+,2+,1.97,[M1+E2],,0.09,0.06,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,485.93,2694.62->2208.69,(1- 2+),(2- 3),28,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,486.3,2147.86->1661.283,(1- 2+),2+,5.1,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,487.6,2482.459->1994.639,(1- 2+),1-,6.1,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,494.21,2698.6->2204.102,(1 2)+,1+,24,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,496.89,2508.12->2010.83,(0+),(2+),14,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,501.97,2266.4->1764.52,2+,1+,28,[M1+E2],,0.08,0.05,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,503.5,1842.9->1339.4,,(6+),100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,519.9,2728.616->2208.69,(0+ 1 2),(2- 3),4.4,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,524.6,2728.616->2204.102,(0+ 1 2),1+,4.5,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,528.3,1543.369->1015.04,2+,(4+),0.23,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,536.78,2266.4->1729.612,2+,2+,100,[M1+E2],,0.07,0.04,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,542.81,2204.102->1661.283,1+,2+,1.49,[M1+E2],,0.06,0.04,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,547.21,2208.69->1661.283,(2- 3),2+,10.4,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,551.9,3000->2447.701,(1- 2+),1-,,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,554.5,2377.6->1823.1,(10+),(8+),100,Q,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,572.77,1847.446->1274.764,2+,3-,1.33,[E1],,0.00779,0.00011,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,574.4,2157.9->1583.5,(9),(8+),100,D,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,579.14,1994.639->1415.498,1-,0+,,[E1],,0.00762,0.00011,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,581.9,2785.97->2204.102,(1 2+),1+,,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,595.24,2010.83->1415.498,(2+),0+,1.3,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,595.8,2179.3->1583.5,(10+),(8+),100,Q,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
