             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22
 *****************  New condition ***********************************************************************************************
W-index= 11.1 Rc(GV)= 1.3758 depth(g/cm2)= 231.465 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1          -0.9          -0.8          -0.7          -0.6          -0.5          -0.4          -0.3          -0.2          -0.1             0           0.1           0.2           0.3           0.4           0.5           0.6           0.7           0.8           0.9             1 (/(MeV/n)/cm2/s/sr)
  4.496500e-08  4.711553e+04  4.723265e+04  4.734959e+04  4.746633e+04  4.758283e+04  4.769906e+04  4.781496e+04  4.793046e+04  4.804542e+04  4.815955e+04  4.818528e+04  4.817737e+04  4.823219e+04  4.829493e+04  4.836346e+04  4.843664e+04  4.851377e+04  4.859434e+04  4.867799e+04  4.876443e+04  4.885342e+04
  5.660800e-08  4.636312e+04  4.647837e+04  4.659344e+04  4.670831e+04  4.682295e+04  4.693733e+04  4.705138e+04  4.716504e+04  4.727816e+04  4.739047e+04  4.741579e+04  4.740801e+04  4.746194e+04  4.752368e+04  4.759112e+04  4.766313e+04  4.773903e+04  4.781832e+04  4.790063e+04  4.798569e+04  4.807326e+04
  7.126500e-08  4.494593e+04  4.505766e+04  4.516921e+04  4.528057e+04  4.539171e+04  4.550258e+04  4.561315e+04  4.572333e+04  4.583300e+04  4.594188e+04  4.596642e+04  4.595888e+04  4.601117e+04  4.607102e+04  4.613639e+04  4.620620e+04  4.627978e+04  4.635665e+04  4.643644e+04  4.651890e+04  4.660379e+04
  8.971700e-08  4.286154e+04  4.296809e+04  4.307447e+04  4.318066e+04  4.328665e+04  4.339238e+04  4.349782e+04  4.360289e+04  4.370747e+04  4.381130e+04  4.383470e+04  4.382751e+04  4.387738e+04  4.393445e+04  4.399679e+04  4.406337e+04  4.413354e+04  4.420684e+04  4.428293e+04  4.436156e+04  4.444252e+04
  1.129500e-07  4.016340e+04  4.026324e+04  4.036292e+04  4.046243e+04  4.056174e+04  4.066082e+04  4.075962e+04  4.085808e+04  4.095608e+04  4.105337e+04  4.107531e+04  4.106858e+04  4.111531e+04  4.116879e+04  4.122721e+04  4.128960e+04  4.135536e+04  4.142405e+04  4.149536e+04  4.156905e+04  4.164491e+04
  1.421900e-07  3.696242e+04  3.705430e+04  3.714604e+04  3.723762e+04  3.732901e+04  3.742020e+04  3.751113e+04  3.760174e+04  3.769192e+04  3.778146e+04  3.780166e+04  3.779548e+04  3.783849e+04  3.788773e+04  3.794150e+04  3.799892e+04  3.805945e+04  3.812267e+04  3.818831e+04  3.825614e+04  3.832597e+04
  1.790100e-07  3.341005e+04  3.349310e+04  3.357602e+04  3.365880e+04  3.374141e+04  3.382383e+04  3.390602e+04  3.398793e+04  3.406945e+04  3.415038e+04  3.416865e+04  3.416308e+04  3.420196e+04  3.424647e+04  3.429508e+04  3.434700e+04  3.440172e+04  3.445887e+04  3.451822e+04  3.457953e+04  3.464267e+04
  2.253600e-07  2.968229e+04  2.975608e+04  2.982975e+04  2.990330e+04  2.997669e+04  3.004992e+04  3.012294e+04  3.019570e+04  3.026812e+04  3.034003e+04  3.035627e+04  3.035133e+04  3.038588e+04  3.042543e+04  3.046863e+04  3.051477e+04  3.056339e+04  3.061418e+04  3.066691e+04  3.072140e+04  3.077750e+04
  2.837100e-07  2.595065e+04  2.601516e+04  2.607957e+04  2.614387e+04  2.620804e+04  2.627206e+04  2.633590e+04  2.639951e+04  2.646283e+04  2.652570e+04  2.653990e+04  2.653560e+04  2.656581e+04  2.660040e+04  2.663818e+04  2.667852e+04  2.672104e+04  2.676545e+04  2.681156e+04  2.685921e+04  2.690827e+04
  3.571700e-07  2.236231e+04  2.241790e+04  2.247341e+04  2.252882e+04  2.258411e+04  2.263928e+04  2.269429e+04  2.274911e+04  2.280368e+04  2.285785e+04  2.287010e+04  2.286640e+04  2.289245e+04  2.292226e+04  2.295482e+04  2.298959e+04  2.302624e+04  2.306452e+04  2.310427e+04  2.314534e+04  2.318762e+04
