cond,header,particle,flux_total,flux_lt0.5eV,flux_0.5eV-0.1MeV,flux_gt1MeV,flux_gt10MeV,Edep_dose_uSvph
15,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+02",neutron,6.4244e+00,1.8843e-01,2.4607e+00,2.6117e+00,1.4462e+00,3.4795e+00
15,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+02",proton,3.5376e-01,0.0000e+00,7.8967e-06,3.5366e-01,3.5080e-01,1.5714e+00
15,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+02",muplus,9.6332e-02,0.0000e+00,8.1689e-08,9.6327e-02,9.6095e-02,1.1883e-01
15,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+02",muminus,8.6487e-02,0.0000e+00,8.1404e-08,8.6482e-02,8.6254e-02,1.0696e-01
15,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+02",electron,9.3403e-01,0.0000e+00,4.5169e-02,7.1406e-01,4.0712e-01,3.6242e-01
15,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+02",positron,4.4266e-01,0.0000e+00,4.8313e-04,4.2814e-01,3.2776e-01,3.2007e-01
15,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+02",photon,3.3648e+01,0.0000e+00,1.3464e+01,6.6183e+00,2.5597e+00,7.1385e-01
16,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= -2.450000e+00",neutron,4.3919e+00,1.6694e-01,1.6353e+00,1.9635e+00,1.2649e+00,2.6980e+00
16,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= -2.450000e+00",proton,3.5376e-01,0.0000e+00,7.8967e-06,3.5366e-01,3.5080e-01,1.5714e+00
16,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= -2.450000e+00",muplus,9.6332e-02,0.0000e+00,8.1689e-08,9.6327e-02,9.6095e-02,1.1883e-01
16,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= -2.450000e+00",muminus,8.6487e-02,0.0000e+00,8.1404e-08,8.6482e-02,8.6254e-02,1.0696e-01
